Education,Sex,Date_Appointed,Date_Appointed2,Name,Initials,Date_Left,Date_Left2,Government_Officer,Male,Bachillerato,Maestria,Juris_Doctor,Doctorado,Length,Year_Appointment,Starting
Masters,F,2004-06-28,2004-06-28,Jossie V. de Varona,JVDV,2008-09-22,2008-09-22,0,0,0,1,0,0,1547,2004,2004-01-01
Doctorate,F,2004-08-23,2004-08-23,Maritza Rubio Stipec,MRS,2005-07-01,2005-07-01,0,0,0,0,0,1,312,2004,2004-01-01
Doctorate,F,2004-08-23,2004-08-23,Sonia Balet Dalmau,SBD,2011-07-22,2011-07-22,0,0,0,0,0,1,2524,2004,2004-01-01
Doctorate,M,2004-09-09,2004-09-09,Hiram Ramirez Rangel,HRR,2005-07-01,2005-07-01,1,1,0,0,0,1,295,2004,2004-01-01
Doctorate,M,2005-07-01,2005-07-01,Angel Ruiz Mercado,ARM,2011-08-28,2011-08-28,0,1,0,0,0,1,2249,2005,2004-01-01
Doctorate,F,2006-01-04,2006-01-04,Rosa Perez Perdomo,RPP,2008-09-15,2008-09-15,1,0,0,0,0,1,985,2006,2004-01-01
Doctorate,M,2006-11-30,2006-11-30,Luis A. Aviles Vera,LAAV,2010-07-01,2010-07-01,0,1,0,0,0,1,1309,2006,2004-01-01
Doctorate,M,2008-06-01,2008-06-01,Carlos Toro Vizcarrondo,CTV,2009-07-01,2009-07-01,0,1,0,0,0,1,395,2008,2004-01-01
Doctorate,M,2008-07-01,2008-07-01,Jose Jaime Rivera,JJR,2009-07-01,2009-07-01,0,1,0,0,0,1,365,2008,2004-01-01
Doctorate,M,2008-09-22,2008-09-22,Johnny Rullan,JR,2009-07-01,2009-07-01,1,1,0,0,0,1,282,2008,2004-01-01
Bachelors ,M,2009-04-02,2009-04-02,Hector Morales Vargas,HMV,2010-08-31,2010-08-31,1,1,1,0,0,0,516,2009,2004-01-01
Masters,F,2009-11-12,2009-11-12,Nanette Ortiz Puig,NOP,2013-08-28,2013-08-28,0,0,0,1,0,0,1385,2009,2004-01-01
Doctorate,M,2010-06-25,2010-06-25,Felix Cue,FC,2010-09-16,2010-09-16,0,1,0,0,0,1,83,2010,2004-01-01
Masters,M,2010-07-01,2010-07-01,Evaristo Medina Irizarry,EMI,2010-12-31,2010-12-31,0,1,0,1,0,0,183,2010,2004-01-01
Bachelors ,M,2010-07-13,2010-07-13,Marco G. Matos Rios,MGMR,2011-07-01,2011-07-01,0,1,1,0,0,0,353,2010,2004-01-01
Bachelors ,M,2010-09-10,2010-09-10,Manuel Cardona Martinez,MCM,2011-07-01,2011-07-01,1,1,1,0,0,0,294,2010,2004-01-01
Masters,M,2011-07-01,2011-07-01,Ruben Flores Marzan,RFM,2013-07-01,2013-07-01,1,1,0,1,0,0,731,2011,2004-01-01
Masters,M,2011-08-12,2011-08-12,Joel O. Melendez Diaz,JOMD,2016-07-27,2016-07-27,0,1,0,1,0,0,1811,2011,2004-01-01
Masters,M,2012-09-20,2012-09-20,Mario J. Iturrino,MJI,2015-07-01,2015-07-01,0,1,0,1,0,0,1014,2012,2004-01-01
Juris Doctor,M,2012-12-27,2012-12-27,Alex Lopez Echegaray,ALE,2016-07-27,2016-07-27,1,1,0,0,1,0,1308,2012,2004-01-01
Bachelors ,F,2012-12-27,2012-12-27,Bethsie Rosa Reyes,BRR,2016-08-28,2016-08-28,0,0,1,0,0,0,1340,2012,2004-01-01
Doctorate,F,2013-11-12,2013-11-12,Ana L. Davila,ALD,2018-08-28,2018-08-28,0,0,0,0,0,1,1750,2013,2004-01-01
Doctorate,F,2013-11-18,2013-11-18,Sonia Balet Dalmau,SBD2,2018-11-17,2018-11-17,0,0,0,0,0,1,1825,2013,2004-01-01
Doctorate,M,2016-07-28,2016-07-28,Antonio Fernos Sagebien,AFS,2018-12-03,2018-12-03,0,1,0,0,0,1,858,2016,2004-01-01
Masters,M,2016-07-28,2016-07-28,Arnaldo Cruz,AC,2018-12-10,2018-12-10,0,1,0,1,0,0,865,2016,2004-01-01
Doctorate,F,2016-12-06,2016-12-06,Marta Alvarez,MA,2018-12-10,2018-12-10,0,0,0,0,0,1,734,2016,2004-01-01
Juris Doctor,F,2017-07-21,2017-07-21,Jeanelle Alemar,JA,2018-03-18,2018-03-18,0,0,0,0,1,0,240,2017,2004-01-01
Bachelors ,F,2017-07-21,2017-07-21,Maria Gordillo,MG,2018-03-18,2018-03-18,0,0,1,0,0,0,240,2017,2004-01-01
Juris Doctor,M,2017-07-21,2017-07-21,Alex Lopez Echegaray,ALE2,2018-12-10,2018-12-10,1,1,0,0,1,0,507,2017,2004-01-01
Bachelors ,M,2018-11-28,2018-11-28,Harry Santiago,HS,2018-12-10,2018-12-10,0,1,1,0,0,0,12,2018,2004-01-01
Masters,M,2018-11-28,2018-11-28,Nicolas Muñoz,NM,2018-12-10,2018-12-10,0,1,0,1,0,0,12,2018,2004-01-01
Bachelors ,M,2018-11-28,2018-11-28,Manuel Laboy,ML,2018-12-10,2018-12-10,1,1,1,0,0,0,12,2018,2004-01-01
